SessionNo	LogTime	CustID	GroupID	ProfID	Act	BadActor
1281832980	2019-05-09 09:00:00.000	s9002934	main	eds_cat	121	0
-21781784	2019-05-09 09:00:00.000	s8887025	main	ehost	115	0
782948791	2019-05-09 09:00:01.000	s8883937	main	ehost	121	0
-1	2019-05-09 09:00:02.000	s8912737	main	ehost	201	0
620515579	2019-05-09 09:00:05.000	s8876267	main	ehost	124	0
845108276	2019-05-09 09:00:05.000	s8883937	main	ehost	115	0
-1014287779	2019-05-09 09:00:05.000	s9003728	main	eds	121	0
-1014287779	2019-05-09 09:00:05.000	s9003728	main	eds	411	0
-1014287779	2019-05-09 09:00:05.000	s9003728	main	eds	410	0
-1	2019-05-09 09:00:08.000	s8876267	main	ehost	201	0
-1	2019-05-09 09:00:10.000	s8912737	main	ehost	201	0
-1213305406	2019-05-09 09:00:13.000	s9003448	main	eds	117	0
-1213305406	2019-05-09 09:00:13.000	s9003448	main	eds	111	0
-1213305406	2019-05-09 09:00:14.000	s9003448	main	eds	121	0
-1	2019-05-09 09:00:15.000	s9003448	main	eds	201	0
592208052	2019-05-09 09:00:15.000	s8883937	main	eds	117	0
592208052	2019-05-09 09:00:15.000	s8883937	main	eds	111	0
782948791	2019-05-09 09:00:16.000	s8883937	main	ehost	115	0
782948791	2019-05-09 09:00:16.000	s8883937	main	ehost	115	0
-1	2019-05-09 09:00:17.000	s8883937	main	eds	201	0
620515579	2019-05-09 09:00:18.000	s8876267	main	ehost	411	0
620515579	2019-05-09 09:00:18.000	s8876267	main	ehost	121	0
620515579	2019-05-09 09:00:18.000	s8876267	main	ehost	410	0
2120446394	2019-05-09 09:00:19.000	s8883937	main	ehost	115	0
592208052	2019-05-09 09:00:19.000	s8883937	main	eds	121	0
1281832980	2019-05-09 09:00:20.000	s9002934	main	eds_cat	115	0
-1	2019-05-09 09:00:20.000	s8912737	main	ehost	201	0
-1	2019-05-09 09:00:22.000	s8912737	main	ehost	201	0
-883945487	2019-05-09 09:00:23.000	s8944763	main	eds	117	0
