SessionNo	LogTime	CustID	GroupID	ProfID	Act	BadActor
1459477253	2019-05-04 18:00:00.000	s8994204	main	ehost	111	0
1459477253	2019-05-04 18:00:00.000	s8994204	main	ehost	117	0
1417371051	2019-05-04 18:00:00.000	s8944763	main	ehost	115	0
-1	2019-05-04 18:00:01.000	s9002934	main	eds_cat	201	0
0	2019-05-04 18:00:01.000	s8989685	main		201	0
-518345011	2019-05-04 18:00:01.000	s9002934	main	eds_cat	115	0
1459477253	2019-05-04 18:00:01.000	s8994204	main	ehost	115	0
0	2019-05-04 18:00:01.000	s8989685	main		201	0
-1	2019-05-04 18:00:02.000	s8983751	main	ehost	201	0
0	2019-05-04 18:00:02.000	s8989685	main		201	0
-888523334	2019-05-04 18:00:03.000	s8985755	main	ehost	115	0
0	2019-05-04 18:00:03.000	s8989685	main		201	0
-1221112003	2019-05-04 18:00:04.000	s8994204	main	eds	116	0
-1838176458	2019-05-04 18:00:06.000	s8983751	main	ehost	115	0
1755969725	2019-05-04 18:00:06.000	s8992667	main	ehost	123	0
993768454	2019-05-04 18:00:07.000	s8994204	main	eds	115	0
743574546	2019-05-04 18:00:07.000	s8989984	main	ehost	127	0
1459477253	2019-05-04 18:00:07.000	s8994204	main	ehost	115	0
692996399	2019-05-04 18:00:07.000	s9003728	main	eds	115	0
-150473636	2019-05-04 18:00:07.000	s8884560	main	ehost	111	0
-1155253163	2019-05-04 18:00:08.000	s8876267	main	ehost	111	0
-1155253163	2019-05-04 18:00:08.000	s8876267	main	ehost	124	0
1570645850	2019-05-04 18:00:08.000	s8989984	main	ehost	116	0
-1155253163	2019-05-04 18:00:08.000	s8876267	main	ehost	117	0
1570645850	2019-05-04 18:00:08.000	s8989984	main	ehost	115	0
-1560515769	2019-05-04 18:00:09.000	s8876267	main	ehost	116	0
1377947168	2019-05-04 18:00:10.000	s8985755	main	ehost	121	0
-1155253163	2019-05-04 18:00:11.000	s8876267	main	ehost	121	0
-1673519376	2019-05-04 18:00:11.000	s8994204	main	eds	127	0
-407888577	2019-05-04 18:00:11.000	s8944763	main	eds	116	0
-422882576	2019-05-04 18:00:12.000	s8994204	main	ehost	513	0
-1	2019-05-04 18:00:12.000	s8994204	main	ehost	201	0
-422882576	2019-05-04 18:00:12.000	s8994204	main	ehost	511	0
-1477263433	2019-05-04 18:00:12.000	s8951337	main	eds	121	0
303252632	2019-05-04 18:00:13.000	s8989984	main	ehost	117	0
-1673519376	2019-05-04 18:00:13.000	s8994204	main	eds	126	0
-209573648	2019-05-04 18:00:13.000	s8994204	main	eds	125	0
-24224695	2019-05-04 18:00:13.000	s8876267	main	ftf	317	0
303252632	2019-05-04 18:00:13.000	s8989984	main	ehost	111	0
692996399	2019-05-04 18:00:13.000	s9003728	main	eds	116	0
-1	2019-05-04 18:00:13.000	s8884560	main	ehost	201	0
993768454	2019-05-04 18:00:14.000	s8994204	main	eds	116	0
